Day,Month,Year,Hour,Min,Sec,mode,Time,BBBV,BBBVs,style,cell0,cell1,cell2,cell3,cell4,cell5,cell6,cell7,cell8,Lcl,Rcl,Dcl,Leff,Reff,Deff,Openings,Islands,Path,GZiNi,HZiNi
28,10,2019,13,30,33,BEG,7.71,25,3.24,NF,12,21,19,2,0,0,0,0,0,36,0,0,33,0,0,3,2,1117,17,17
28,10,2019,13,30,55,BEG,7.05,23,3.26,NF,18,17,10,8,0,1,0,0,0,26,0,0,25,0,0,2,1,911,18,19
28,10,2019,13,31,2,BEG,6.56,14,2.13,NF,19,19,11,4,1,0,0,0,0,24,0,0,21,0,0,3,2,824,14,14
28,10,2019,13,31,17,BEG,5.33,15,2.81,NF,24,14,8,8,0,0,0,0,0,23,0,0,19,0,0,1,4,749,11,13
28,10,2019,13,31,23,BEG,5.17,12,2.32,NF,19,21,10,2,2,0,0,0,0,21,0,0,15,0,0,3,3,719,10,11
28,10,2019,13,31,33,BEG,5.78,20,3.46,NF,11,31,8,4,0,0,0,0,0,29,0,0,26,0,0,3,3,960,13,15
28,10,2019,13,31,39,BEG,5.45,14,2.56,NF,23,14,11,4,2,0,0,0,0,22,0,0,20,0,0,3,2,726,12,12
28,10,2019,13,31,48,BEG,6.76,20,2.95,NF,14,25,13,1,1,0,0,0,0,30,0,0,25,0,0,3,3,981,16,20
28,10,2019,13,32,8,BEG,9.45,28,2.96,NF,11,20,18,5,0,0,0,0,0,42,0,0,33,0,0,2,2,1553,20,23
28,10,2019,13,32,17,BEG,7.04,22,3.12,NF,10,25,19,0,0,0,0,0,0,37,0,0,32,0,0,4,5,1181,17,19
28,10,2019,21,25,4,BEG,6.86,22,3.20,NF,12,26,15,1,0,0,0,0,0,30,0,0,27,0,0,3,5,997,16,17
28,10,2019,21,25,25,BEG,6.67,20,2.99,NF,13,24,16,1,0,0,0,0,0,31,0,0,28,0,0,4,2,944,14,16
28,10,2019,21,25,33,BEG,7.37,19,2.57,NF,15,21,15,3,0,0,0,0,0,32,0,0,26,0,0,4,3,1030,13,19
28,10,2019,21,25,41,BEG,6.91,22,3.18,NF,19,15,15,5,0,0,0,0,0,29,0,0,26,0,0,2,4,1162,13,15
28,10,2019,21,25,52,BEG,7.21,22,3.05,NF,14,20,17,3,0,0,0,0,0,34,0,0,27,0,0,3,2,1071,17,17
28,10,2019,21,26,4,BEG,8.56,25,2.92,NF,12,28,12,1,1,0,0,0,0,43,0,0,33,0,0,4,4,1405,17,17
28,10,2019,21,26,18,BEG,4.18,10,2.39,Flag,24,19,7,4,0,0,0,0,0,12,1,2,10,1,2,2,4,624,9,10
28,10,2019,21,26,31,BEG,6.59,11,1.66,Flag,19,20,10,4,1,0,0,0,0,9,5,13,8,4,6,3,4,792,11,11
28,10,2019,21,26,40,BEG,7.49,24,3.20,Flag,19,20,11,3,1,0,0,0,0,2,10,15,2,9,11,1,1,823,16,16
28,10,2019,21,26,50,BEG,5.23,15,2.86,Flag,22,15,12,4,1,0,0,0,0,17,1,2,15,1,1,2,2,768,13,11
28,10,2019,21,27,2,BEG,5.07,16,3.15,NF,19,20,10,5,0,0,0,0,0,24,0,0,20,0,0,2,4,787,13,14
28,10,2019,21,27,10,BEG,7.31,22,3.00,NF,14,22,16,2,0,0,0,0,0,35,0,0,30,0,0,3,3,1155,15,17
28,10,2019,21,27,16,BEG,5.58,14,2.50,NF,20,18,11,5,0,0,0,0,0,26,0,0,20,0,0,3,5,765,12,12
28,10,2019,21,27,26,BEG,7.96,28,3.51,NF,12,29,8,5,0,0,0,0,0,36,0,0,32,0,0,3,2,1223,17,21
28,10,2019,21,50,23,BEG,7.17,20,2.78,NF,11,29,11,3,0,0,0,0,0,31,0,0,30,0,0,5,3,1044,17,17
28,10,2019,21,50,30,BEG,4.84,14,2.89,NF,17,24,11,2,0,0,0,0,0,22,0,0,21,0,0,3,4,803,13,14
28,10,2019,21,50,36,BEG,5.31,17,3.20,NF,20,19,11,2,2,0,0,0,0,22,0,0,19,0,0,2,4,797,12,15
28,10,2019,21,50,43,BEG,5.27,16,3.03,NF,17,24,8,5,0,0,0,0,0,28,0,0,20,0,0,3,3,817,11,12
28,10,2019,21,50,50,BEG,5.17,18,3.48,NF,17,18,18,0,1,0,0,0,0,24,0,0,20,0,0,2,3,748,14,18
28,10,2019,21,51,19,BEG,5.29,20,3.78,NF,17,22,12,2,1,0,0,0,0,24,0,0,20,0,0,1,2,864,14,16
28,10,2019,21,51,32,BEG,4.78,11,2.30,NF,23,18,8,2,2,0,1,0,0,16,0,0,12,0,0,2,4,778,9,10
28,10,2019,21,51,43,BEG,5.53,15,2.71,NF,23,18,6,5,2,0,0,0,0,20,0,0,15,0,0,1,2,858,12,13
28,10,2019,21,51,49,BEG,5.17,14,2.70,NF,20,17,13,3,1,0,0,0,0,24,0,0,20,0,0,3,3,841,11,12
28,10,2019,21,52,17,BEG,7.40,23,3.10,NF,12,26,11,4,1,0,0,0,0,32,0,0,26,0,0,3,4,1096,16,19
28,10,2019,21,53,4,BEG,4.85,16,3.29,NF,19,21,10,4,0,0,0,0,0,21,0,0,20,0,0,2,3,774,11,12
28,10,2019,21,53,12,BEG,6.20,16,2.58,NF,21,17,11,4,1,0,0,0,0,25,0,0,20,0,0,3,2,880,13,14
28,10,2019,21,53,18,BEG,5.04,11,2.18,NF,15,27,9,3,0,0,0,0,0,24,0,0,19,0,0,4,2,852,11,11
28,10,2019,21,53,30,BEG,5.30,11,2.07,NF,18,18,13,5,0,0,0,0,0,24,0,0,18,0,0,4,6,742,11,11
28,10,2019,21,53,47,BEG,7.37,22,2.98,Flag,14,25,13,1,1,0,0,0,0,22,1,4,21,1,2,2,3,1029,16,18
29,10,2019,18,17,6,BEG,8.63,22,2.54,NF,14,20,14,6,0,0,0,0,0,38,0,0,32,0,0,3,2,1308,16,19
29,10,2019,18,17,13,BEG,5.17,18,3.48,NF,18,20,11,3,2,0,0,0,0,23,0,0,20,0,0,2,2,733,14,16
29,10,2019,18,17,20,BEG,6.32,17,2.68,NF,16,23,13,2,0,0,0,0,0,28,0,0,22,0,0,3,8,882,14,14
29,10,2019,18,17,26,BEG,4.36,10,2.29,NF,22,18,9,3,2,0,0,0,0,21,0,0,17,0,0,2,2,640,9,9
29,10,2019,18,17,40,BEG,5.83,17,2.91,NF,19,23,3,6,3,0,0,0,0,30,0,0,24,0,0,4,3,866,13,15
29,10,2019,18,17,49,BEG,6.49,14,2.15,NF,18,21,10,4,1,0,0,0,0,27,0,0,21,0,0,4,3,935,13,13
29,10,2019,18,18,3,BEG,4.24,15,3.53,NF,16,25,11,2,0,0,0,0,0,21,0,0,18,0,0,4,6,637,13,13
29,10,2019,18,18,15,BEG,6.96,21,3.01,NF,10,29,14,1,0,0,0,0,0,33,0,0,28,0,0,4,6,1232,19,18
29,10,2019,18,18,33,BEG,7.38,19,2.57,NF,12,28,12,2,0,0,0,0,0,38,0,0,31,0,0,5,3,1257,13,13
29,10,2019,18,18,42,BEG,6.03,19,3.15,NF,17,17,17,3,0,0,0,0,0,27,0,0,24,0,0,3,3,1071,16,17
29,10,2019,18,18,51,BEG,7.37,27,3.66,NF,10,28,14,2,0,0,0,0,0,37,0,0,32,0,0,4,1,1100,17,19
29,10,2019,18,19,11,BEG,5.46,19,3.47,NF,16,22,11,5,0,0,0,0,0,25,0,0,23,0,0,3,3,792,17,17
29,10,2019,18,19,37,BEG,6.12,13,2.12,NF,17,22,12,3,0,0,0,0,0,29,0,0,22,0,0,4,5,1051,12,12
29,10,2019,18,20,22,BEG,4.44,9,2.02,NF,19,26,5,4,0,0,0,0,0,19,0,0,18,0,0,3,3,715,9,9
29,10,2019,18,20,44,BEG,9.77,22,2.25,Flag,10,27,15,2,0,0,0,0,0,19,5,17,14,5,9,4,5,1136,17,18
29,10,2019,18,20,54,BEG,6.94,22,3.17,NF,11,30,10,3,0,0,0,0,0,33,0,0,27,0,0,3,3,926,14,15
29,10,2019,18,21,1,BEG,5.70,15,2.63,NF,18,24,8,1,3,0,0,0,0,23,0,0,21,0,0,3,6,819,13,13
